Province,Year,Addicted to other drugs,Adhd,Alcoholic,Anxiety Disorder,Autistic Disorder,Dementia,Depression,Epilepsy,Intellectual Disabilities,Learning Disabilities,Male population,Schizophrenia,Self-Harm,Total population,Women population
Amnat Charoen,2015,17.828869463,0.266102529,27.674663048,589.150999880,1.330512647,12.772921407,320.653547812,102.449473782,7.983075879,7.716973350,49992.149975386,829.707686372,4.523742998,100000,50007.850024614
Amnat Charoen,2016,18.856048675,0.531156301,10.888704165,587.990024885,1.859047052,6.905031909,320.021671177,71.971678746,3.186937804,1.327890752,49936.925189291,1375.694818836,4.249250406,100000,50063.074810709
Amnat Charoen,2017,280.396102521,315.346324931,770.228765092,568.205888583,20.387629739,49.777589494,309.786062275,57.456047448,20.122855327,14.562592671,49914.213090447,866.341876721,16.680787969,100000,50085.786909553
Amnat Charoen,2018,423.984182535,418.168938136,1211.685469290,760.211040506,75.598177185,73.747872149,420.812231045,61.324395479,39.120735047,17.974391778,49874.972245424,734.835428584,34.362807811,100000,50125.027754576
Amnat Charoen,2019,95.385054404,89.043665745,281.927570773,549.587017064,16.381920701,26.158228216,510.481787003,252.862872755,31.442718765,34.349188566,49826.404485476,449.445921166,14.796573536,100000,50173.595514524
Amnat Charoen,2020,67.454428582,92.584509818,152.896704785,326.162001730,26.188189920,42.324347345,476.413434806,163.213264450,45.498673396,17.987847622,49828.189602495,418.746511548,25.659135578,100000,50171.810397505
Amnat Charoen,2021,31.358459077,165.562033942,278.505636550,454.963406273,26.043466013,61.122420235,498.812099050,252.462170537,48.366436882,28.435212892,49757.104816978,448.053915290,37.736450754,100000,50242.895183022
Amnat Charoen,2022,92.414303710,206.134498766,252.474812442,508.411832227,37.817957138,19.707949494,525.989192587,289.493798654,19.175302211,32.757807943,49695.725239225,597.630252235,7.723385613,100000,50304.274760775
Amnat Charoen,2023,218.188025798,276.335934874,438.509919820,750.588147429,64.016046689,92.023067115,725.781929337,389.164217164,66.149914912,54.680373214,49695.390311171,644.961670392,49.612436184,100000,50304.609688829
Ang Thong,2015,6.356515782,0,3.178257891,1004.329493527,0.353139766,2.118838594,979.609709931,6.709655547,1.059419297,0,47974.390304195,583.386892864,2.825118125,100000,52025.609695805
Ang Thong,2016,9.556270506,0,4.247231336,1006.593826649,0,1.415743779,981.818310522,6.016911059,1.061807834,1.061807834,47948.410296704,1431.316960257,1.769679723,100000,52051.589703296
Ang Thong,2017,236.730007300,278.547583440,534.414447618,856.551538391,138.210633005,110.214120165,1016.025345704,101.708850442,55.638639440,110.568506404,47928.966822360,766.183047580,48.905300909,100000,52071.033177640
Ang Thong,2018,158.619512334,272.427234188,632.344154551,640.168435428,124.832844909,84.288843998,751.842262498,75.753264859,50.502176573,84.288843998,47939.368936182,427.490255214,50.502176573,100000,52060.631063818
Ang Thong,2019,206.343086436,121.378286139,133.873109712,440.174784732,92.818689400,86.035785175,652.229790515,210.984020906,41.768410230,37.127475760,47936.926130603,325.579402819,31.772551372,100000,52063.073869397
Ang Thong,2020,50.618551520,77.543312966,85.800239810,204.269190175,68.568392484,58.157484725,633.988382863,104.468074413,89.390208003,23.693790073,47944.384212756,182.011387379,25.129777350,100000,52055.615787244
Ang Thong,2021,91.049242768,122.608143647,112.088510021,336.628276050,84.519815000,112.451256008,817.266708987,205.676974698,74.000181373,34.460868777,47852.725129228,347.873401650,27.931441008,100000,52147.274870772
Ang Thong,2022,1462.096305263,166.030946120,1724.308173916,419.465848458,113.369148232,69.484316658,911.707375943,191.996138135,64.730126571,44.250538503,47810.695464868,416.905899950,12.434035613,100000,52189.304535132
Ang Thong,2023,539.403340322,189.012236055,364.023565736,542.350899558,124.534377752,175.379774585,1023.908389859,253.490094359,95.795675194,51.582286643,47822.306391414,449.502783601,72.215201300,100000,52177.693608586
Bangkok Metropolis,2015,0.808074278,0.035133664,1.001309432,20.904530240,0.245935650,0.702673285,13.456193415,2.547190660,0.333769811,0.087834161,47324.395797592,22.520678796,0.316202978,100000,52675.604202408
Bangkok Metropolis,2016,1.195352820,0.087893590,1.388718717,20.918674347,0.685570000,1.037144358,13.465297941,3.656373331,0.281259487,0.263680769,47293.554218128,58.976598683,0.439467948,100000,52706.445781872
Bangkok Metropolis,2017,0,0,0,0,0,0,0,0,0,0,47239.352216975,0,0,100000,52760.647783025
Bangkok Metropolis,2018,60.368687623,81.842113422,110.537938382,145.575382118,38.331562378,24.820391264,113.303588793,11.820072774,12.982702882,11.960997635,47192.442058743,133.579153267,12.894624844,100000,52807.557941257
Bangkok Metropolis,2019,39.285193030,78.235067700,34.802516017,193.849308282,37.538007895,52.980300752,213.244828111,99.642497684,19.589651511,18.389564751,47172.216156097,134.162640346,11.241989200,100000,52827.783843903
Bangkok Metropolis,2020,8.322173382,41.806473548,6.490583941,47.763584837,21.249993998,18.102505348,217.212281750,33.502082588,20.165266271,9.033470252,47030.753453657,34.978023594,11.825310468,100000,52969.246546343
Bangkok Metropolis,2021,30.368835451,81.073622991,33.917269961,219.480581237,45.499216102,54.487382704,242.446337583,91.646877089,36.583098933,16.301183916,46927.109751458,238.753804210,9.708660918,100000,53072.890248542
Bangkok Metropolis,2022,59.485602923,105.974046342,34.072162553,279.584148984,55.709891782,59.503755380,319.338030705,137.032900966,38.247227757,21.111307964,46859.279971885,255.550295377,3.630491481,100000,53140.720028115
Bangkok Metropolis,2023,76.680046118,106.859121411,54.881004436,300.403209243,64.940696200,82.065906500,311.101901391,127.051533555,48.198886131,21.689498759,46768.529413644,281.434026405,28.572445756,100000,53231.470586356
Bueng Kan,2015,1.430049146,0.476683049,2.145073719,319.139301087,0.953366097,1.430049146,337.968281510,10.725368595,0.953366097,0.476683049,50429.491426855,515.532717141,0.953366097,100000,49570.508573145
Bueng Kan,2016,16.872142429,0,18.535593091,318.194348070,0.712907427,2.613993898,336.967576970,27.328118019,2.376358089,0.950543235,50370.474226020,1080.530022908,4.990351986,100000,49629.525773980
Bueng Kan,2017,193.859919048,267.237910384,604.776670533,285.700759817,15.859114257,35.505479679,342.982933699,20.119771818,8.284611925,8.758018321,50335.645134566,718.867611901,30.298009326,100000,49664.354865434
Bueng Kan,2018,225.182163873,261.060244490,561.539169658,299.534765152,38.002440654,42.251160727,293.869805055,30.449160524,16.286760280,22.423800386,50270.619864655,527.549409074,31.157280536,100000,49729.380135345
Bueng Kan,2019,133.975851325,50.948563180,157.799022071,215.116155648,26.889519456,25.946027545,312.531695431,210.398696094,13.680632706,6.132697420,50207.214410895,356.639942258,28.540630300,100000,49792.785589105
Bueng Kan,2020,61.268445337,8.247675334,54.670305070,48.543460536,5.655548800,7.069436000,310.819536151,56.319840136,6.598140267,1.649535067,50188.046997611,149.165099608,23.329138801,100000,49811.953002389
Bueng Kan,2021,55.925628393,56.162601395,174.412129226,188.867482328,22.749408160,32.939247232,304.036361137,202.611916424,22.749408160,7.109190050,50141.354395494,384.370208702,39.337518277,100000,49858.645604506
Bueng Kan,2022,181.766408808,51.729865692,190.783541360,232.309809691,31.559963931,32.746428741,279.768402069,245.835508519,16.135921409,5.220445162,50078.306677424,518.959707655,14.237577713,100000,49921.693322576
Bueng Kan,2023,261.179057239,86.189088889,252.393943495,358.052743923,47.487101316,59.596312152,323.387159963,288.009269482,28.967131803,8.310242730,50042.857108938,479.144852279,71.468087481,100000,49957.142891062
Buri Ram,2015,114.212644212,0.126481334,107.635614867,455.143078847,2.150182671,12.205448689,481.134992895,107.066448866,9.106656017,3.541477340,49868.996958756,838.444760226,8.537490016,100000,50131.003041244
Buri Ram,2016,103.494206595,0.315338838,109.485644515,453.898723256,2.522710703,12.361282445,479.819575731,112.071422985,12.487417980,4.919285871,49829.590892005,634.083335225,9.712436207,100000,50170.409107995
Buri Ram,2017,652.700707983,354.274724231,594.713614829,380.438098149,105.659779284,50.817322418,489.745655528,55.911633205,41.886555359,16.163430521,49815.252618067,797.416869967,32.012397414,100000,50184.747381933
Buri Ram,2018,625.620113225,338.885405900,829.641678889,396.056629006,115.472064233,58.489110796,452.349260320,51.272106782,41.858623284,19.893828457,49775.300148921,579.054748192,41.042788048,100000,50224.699851079
Buri Ram,2019,69.135876756,122.163031549,357.525875810,305.313559094,17.738398116,54.970230204,428.479468274,277.295665249,20.684351160,40.052425428,49718.097365628,383.099255426,29.083451328,100000,50281.902634372
Buri Ram,2020,426.474149907,28.548733001,200.343086752,177.880567160,5.019557451,26.478165553,420.638914370,157.551359484,10.666559583,4.768579578,49700.081442320,322.004610464,30.368322577,100000,50299.918557680
Buri Ram,2021,186.473753471,123.872754767,330.348445134,275.659605012,17.659937956,67.917969272,434.472452079,291.990300327,50.194734047,28.040690016,49620.881009364,416.496027780,27.344420061,100000,50379.118990636
Buri Ram,2022,111.084903866,155.341332461,367.937041743,310.048618667,21.113740290,61.439082104,467.926136147,337.439416880,22.952474429,28.405272221,49558.196569556,567.661612050,21.113740290,100000,50441.803430444
Buri Ram,2023,264.568236955,213.013303332,604.119696334,474.914905788,34.158318090,104.379693197,641.579561897,438.534392284,81.967265157,40.507447847,49537.624625481,605.389522285,77.522874327,100000,50462.375374519
Chachoengsao,2015,8.454975108,0.143304663,5.445577188,382.480145139,1.003132640,4.729053874,340.348574262,29.664065209,1.576351291,2.292874606,49041.578414878,530.083947871,3.152702583,100000,50958.421585122
Chachoengsao,2016,15.374628446,0,17.652351179,379.952623367,0.854146025,4.555445466,338.099468152,26.336169098,0.711788354,1.993007391,49006.485815482,496.258840411,3.274226428,100000,50993.514184518
Chachoengsao,2017,208.588003363,338.319566431,351.320986695,341.145962140,182.443843050,91.575220989,460.137221512,52.429640412,45.928930280,24.307003102,49001.646375501,629.720964084,31.372992376,100000,50998.353624499
Chachoengsao,2018,611.028817668,369.198312236,846.126223180,496.986937786,172.114866685,84.584567735,909.389307837,72.100278301,68.312909597,48.253882754,49023.560238801,575.680043092,49.516338989,100000,50976.439761199
Chachoengsao,2019,227.076229950,145.907963818,678.444186723,265.641598249,41.767546895,60.145267528,297.663384202,225.266302918,30.768759546,32.578686578,49044.985040257,255.617386994,27.288130638,100000,50955.014959743
Chachoengsao,2020,136.093978222,23.536089825,153.261479036,76.976858486,5.399455901,17.167500813,340.165721762,80.853390928,8.860645581,10.383569040,49058.348735627,90.960064793,18.413529098,100000,50941.651264373
Chachoengsao,2021,43.764161030,131.153988909,153.313057785,226.853467617,29.776248802,63.707323018,381.689961388,227.822926881,35.869992743,25.898411749,49008.935644524,259.676588390,32.546132412,100000,50991.064355476
Chachoengsao,2022,228.394475003,164.890341724,191.063411839,263.659243157,27.412847120,59.784802262,471.528521070,258.424629134,45.733996201,33.198473146,48964.717323955,282.118145238,11.433499050,100000,51035.282676045
